['B','R','P','R','B','G','Y','O','Y'],
['B','R','P','Y','B','O','R','G','Y'],
['B','R','Y','Y','B','P','R','O','G'],
['B','B','Y','P','Y','R','O','G','R'],
['B','B','R','P','G','R','Y','O','Y'],
['B','O','Y','P','G','Y','R','B','R'],
['B','O','P','Y','R','B','Y','G','R'],
['B','B','P','Y','Y','G','R','O','R'],
['G','B','Y','O','R','P','Y','B','R'],
['P','B','R','G','Y','O','R','B','Y'],
['B','B','R','O','P','Y','R','G','Y'],
['B','G','R','P','O','B','R','Y','Y'],
['B','G','Y','Y','R','P','B','R','O'],
['B','G','R','P','O','Y','R','B','Y'],
['B','G','R','O','B','Y','P','R','Y'],
['B','O','R','P','G','Y','B','R','Y'],
['B','P','Y','R','O','G','B','Y','R'],
['R','B','Y','O','G','B','R','P','Y'],
['P','B','Y','O','B','Y','R','G','R'],
['B','G','R','O','Y','B','Y','R','P'],
['B','G','Y','P','Y','R','B','R','O'],
['B','B','R','Y','R','G','O','P','Y'],
['P','G','R','O','Y','B','R','B','Y'],
['B','P','G','Y','B','O','R','R','Y'],
['R','B','Y','P','G','B','R','O','Y'],
['P','G','Y','O','Y','B','R','B','R'],
['O','B','Y','Y','B','P','R','G','R'],
['B','P','R','Y','R','B','O','G','Y'],
['G','B','R','O','R','P','Y','B','Y'],
['B','O','R','Y','R','G','Y','B','P'],
['B','P','G','R','R','O','B','Y','Y'],
['B','G','B','R','Y','Y','R','P','O'],
['B','B','R','P','R','Y','O','G','Y'],
['B','G','R','Y','B','P','O','Y','R'],
['B','B','R','Y','Y','G','O','P','R'],
['B','B','Y','G','Y','O','P','R','R'],
['B','G','Y','Y','B','R','R','O','P'],
['B','P','R','Y','B','R','G','O','Y'],
['B','G','R','O','P','R','Y','B','Y'],
['B','O','B','R','P','Y','R','G','Y'],
['B','G','B','R','Y','Y','O','P','R'],
['B','P','R','Y','G','O','B','Y','R'],
['B','G','Y','R','R','B','O','P','Y'],
['P','B','Y','G','Y','O','R','B','R'],
['P','G','Y','O','R','B','R','B','Y'],
['B','G','Y','R','O','P','Y','B','R'],
['B','O','R','Y','B','P','Y','R','G'],
['B','G','P','Y','Y','R','R','O','B'],
['B','G','R','Y','O','P','B','R','Y'],
['B','G','Y','O','P','R','R','B','Y'],
['P','B','R','O','Y','G','Y','B','R'],
['B','B','R','G','Y','Y','R','P','O'],
['B','P','Y','Y','R','O','B','R','G'],
['B','P','R','R','Y','G','Y','B','O'],
['B','G','Y','O','R','Y','P','B','R'],
['B','G','Y','Y','R','R','B','O','P'],
['B','B','R','Y','Y','O','P','G','R'],
['B','O','Y','P','R','Y','R','B','G'],
['B','P','R','Y','B','Y','R','O','G'],
['B','G','O','P','R','Y','Y','R','B'],
['B','G','R','O','Y','R','Y','B','P'],
['B','O','R','R','B','P','Y','Y','G'],
['B','G','R','P','Y','B','R','Y','O'],
['B','B','P','O','Y','G','R','Y','R'],
['B','G','R','Y','R','B','O','P','Y'],
['B','O','R','P','G','R','Y','B','Y'],
['B','G','P','O','Y','B','R','Y','R'],
['B','G','P','O','R','Y','Y','B','R'],
['B','O','Y','R','G','P','Y','B','R'],
['B','G','Y','P','O','R','B','Y','R'],
['B','G','Y','R','P','O','Y','B','R'],
['B','O','R','R','Y','P','Y','B','G'],
['B','B','Y','Y','G','O','R','P','R'],
['B','O','R','P','B','Y','R','Y','G'],
['B','G','R','P','Y','B','O','Y','R'],
['B','B','G','O','Y','R','R','P','Y'],
['B','B','Y','P','R','R','G','O','Y'],
['B','B','G','Y','R','O','Y','P','R'],
['B','P','R','Y','B','G','R','Y','O'],
['B','P','R','Y','B','O','R','Y','G'],
['B','B','R','P','Y','G','O','Y','R'],
['P','G','Y','R','B','O','R','B','Y'],
['B','O','Y','P','G','B','Y','R','R'],
['B','P','B','R','O','R','Y','G','Y'],
['B','P','Y','R','G','O','Y','B','R'],
['B','O','Y','R','R','Y','G','P','B'],
['B','B','Y','G','P','R','Y','O','R'],
['O','B','R','G','B','Y','Y','P','R'],
['B','B','G','P','Y','R','R','O','Y'],
['B','O','B','R','P','R','Y','G','Y'],
['B','O','R','Y','Y','B','P','G','R'],
['B','G','P','Y','Y','O','R','R','B'],
['B','G','P','R','R','O','B','Y','Y'],
['B','P','Y','R','R','B','Y','O','G'],
['B','O','P','R','B','G','Y','R','Y'],
['B','O','G','Y','R','P','Y','B','R'],
['B','G','P','O','R','B','R','Y','Y'],
['B','G','P','O','R','R','B','Y','Y'],
['O','G','R','Y','B','P','Y','B','R'],
['B','P','R','Y','O','G','B','Y','R'],
['B','G','R','P','O','Y','B','R','Y'],
['B','B','R','R','P','G','Y','O','Y'],
['B','B','R','O','R','Y','G','P','Y'],
['G','O','Y','Y','B','P','R','B','R'],
['B','G','R','Y','R','P','O','Y','B'],
['B','G','B','O','Y','R','P','R','Y'],
['B','G','P','O','Y','R','B','Y','R'],
['B','B','R','O','G','P','Y','Y','R'],
['B','O','G','R','B','Y','R','P','Y'],
['B','G','Y','R','P','B','R','O','Y'],
['G','B','R','P','Y','B','Y','O','R'],
['B','G','P','R','Y','R','Y','O','B'],
['P','G','Y','Y','B','B','R','O','R'],
['B','G','R','R','O','B','Y','P','Y'],
['B','O','P','R','Y','G','Y','B','R'],
['B','O','G','Y','R','Y','B','P','R'],
['G','O','Y','P','Y','B','R','B','R'],
['B','G','Y','O','P','R','R','Y','B'],
['B','B','Y','P','R','O','R','Y','G'],
['B','G','R','R','B','P','Y','Y','O'],
['B','B','Y','R','R','O','P','G','Y'],
['P','G','R','O','B','R','Y','B','Y'],
['B','B','R','O','Y','R','Y','P','G'],
['B','G','Y','Y','R','O','R','B','P'],
['B','G','Y','R','Y','R','B','O','P'],
['B','P','R','Y','G','B','Y','O','R'],
['P','B','Y','O','B','R','Y','G','R'],
['B','R','O','Y','B','G','R','P','Y'],
